,score,text
77,1,Thanks @RedSox & #redsoxnation for capping a fun day in Boston! #WinDanceRepeat https://t.co/DvhPV2tVrK
78,2,Great to be back at Apple Boylston Street visiting our incredible team and customers today! https://t.co/XeeWtG2Bc5
79,2,"Congratulations, @MIT class of 2017! Today, all of humanity has good cause for hope. https://t.co/10g3f7ZbDd"
80,1,"Hope everyone had a great week at WWDC! Developers, we can't wait to see what you create next. Already looking forw°≠ https://t.co/1Rn9oPnjAp"
81,1,So impressed by @MIT students & faculty who are finding new ways to tackle the world°Øs biggest challenges. Thanks f°≠ https://t.co/MnhgKJjira
82,3,"Thank you  @MichelleObama for sharing your views on diversity & innovation, and for encouraging developers to make°≠ https://t.co/2oBBL4N8yz"
83,2,"A huge day of exciting announcements at WWDC yesterday! We°Øre back for Day 2 - have a great week, developers! https://t.co/CyQLWoVfNl"
84,0,"Just a few more hours to go, developers! We've got a big week ahead. See you at the keynote! #WWDC17 https://t.co/ewnOg3dXQ5"
85,1,Kicking off #WWDC17 with this year's talented scholarship recipients. See you all tomorrow morning! https://t.co/4kovS1cAzX
86,-2,"Shocked by more senseless attacks in London. Our hearts go out to our friends, coworkers, neighbors and everyone in that great city. ??"
87,-1,Decision to withdraw from the #ParisAgreeement was wrong for our planet. Apple is committed to fight climate change and we will never waver.
88,1,A tremendous milestone for our developers who create the very best apps & games for our customers around the world https://t.co/DCVzC1FxEG
89,1,"°∞The human mind is our fundamental resource.°± On #JFK's 100th birthday, we celebrate his legacy by learning. https://t.co/pzMEwp9pUY"
90,3,We honor the heroes who gave their lives for our freedom. They and their families have our eternal gratitude #MemorialDay
91,0,Heartbroken at the passing of @GreggAllman I grew up listening to your soulful voice & will never forget you. RIP midnight rider.
92,1,"Congratulations team, and thanks to the thousands of customers who joined us at the new #AppleOrchardRoad in Singap°≠ https://t.co/DsjZNGPc7d"
93,-2,"""This was a risky drawing to make ... I kept worrying that the ball would hit me or the iPad."" @thejorgecolombo https://t.co/8PCMp7B1xL"
94,2,Thrilled to be working with @HCCDistrict and other leading community colleges on new ways to teach app development!°≠ https://t.co/uSgWraxO04
95,-1,Deeply saddened by the tragic events in Manchester. Our thoughts are with everyone affected.  ??
96,2,"Our stores are dedicated to educating, inspiring and enriching lives. https://t.co/83qrJUXMlm https://t.co/VI5p3kxVUu"
97,4,"We are indebted to all the courageous women & men who serve our country, and the families who support them. Thank you! #ArmedForcesDay"
98,1,Thank you to the incomparable Stevie Wonder for lifting hearts and celebrating accessibility with us! #GAAD https://t.co/WvePkgte5R
99,1,Thanks @JamesRath @PintSzDiva @RikkiPoynter for visiting Apple for #GAAD! Great conversations about the importance°≠ https://t.co/SKwx5qDMu5
